lecturerID,phoneNumber
2011,+1-404-272-3487
2007,+33-895-716-04
2016,+44-730-337-0408
2005,+91-744-785-7353
2017,+61-990-275-9829
2017,+1-934-755-3039x438
2016,+1-989-746-7974
2005,+234-878-766-5504x705
2014,+1-606-269-8101x5882
2008,+1-413-556-0208
2021,+44-487-505-5038
2020,+1-916-428-7942
2014,+1-213-997-0012x1494
2007,+52-528-813-0977x014
2019,+1-775-706-4199
2016,+91-735-580-2276
2017,+1-845-516-6109
2008,+1-779-710-7949
2002,+49-461-291-3145x86866
2012,+1-978-870-4396x724
2012,+1-416-739-4743x46251
